,c,day
0,124.38,2020-12-08
1,121.78,2020-12-09
2,123.24,2020-12-10
3,122.41,2020-12-11
4,121.78,2020-12-14
5,127.88,2020-12-15
6,127.81,2020-12-16
7,128.7,2020-12-17
8,126.655,2020-12-18
9,128.23,2020-12-21
10,131.88,2020-12-22
11,130.96,2020-12-23
12,131.97,2020-12-24
13,136.69,2020-12-28
14,134.87,2020-12-29
15,133.72,2020-12-30
16,132.69,2020-12-31
17,129.41,2021-01-04
18,131.01,2021-01-05
19,126.6,2021-01-06
20,130.92,2021-01-07
21,132.05,2021-01-08
22,128.98,2021-01-11
23,128.8,2021-01-12
24,130.89,2021-01-13
25,128.91,2021-01-14
26,127.14,2021-01-15
27,127.83,2021-01-19
28,132.03,2021-01-20
29,136.87,2021-01-21
30,139.07,2021-01-22
31,142.92,2021-01-25
32,143.16,2021-01-26
33,142.06,2021-01-27
34,137.09,2021-01-28
35,131.96,2021-01-29
36,134.14,2021-02-01
37,134.99,2021-02-02
38,133.94,2021-02-03
39,137.39,2021-02-04
40,136.76,2021-02-05
41,136.91,2021-02-08
42,136.01,2021-02-09
43,135.39,2021-02-10
44,135.13,2021-02-11
45,135.37,2021-02-12
46,133.19,2021-02-16
47,130.84,2021-02-17
48,129.71,2021-02-18
49,129.87,2021-02-19
50,126.0,2021-02-22
51,125.86,2021-02-23
52,125.35,2021-02-24
53,120.99,2021-02-25
54,121.26,2021-02-26
55,127.79,2021-03-01
56,125.12,2021-03-02
57,122.06,2021-03-03
58,120.13,2021-03-04
59,121.42,2021-03-05
60,116.36,2021-03-08
61,121.085,2021-03-09
62,119.98,2021-03-10
63,121.96,2021-03-11
64,121.03,2021-03-12
65,123.99,2021-03-15
66,125.57,2021-03-16
67,124.76,2021-03-17
68,120.53,2021-03-18
69,119.99,2021-03-19
70,123.39,2021-03-22
71,122.54,2021-03-23
72,120.09,2021-03-24
73,120.59,2021-03-25
74,121.21,2021-03-26
75,121.39,2021-03-29
76,119.9,2021-03-30
77,122.15,2021-03-31
78,123.0,2021-04-01
79,125.9,2021-04-05
80,126.21,2021-04-06
81,127.9,2021-04-07
82,130.36,2021-04-08
83,132.995,2021-04-09
84,131.24,2021-04-12
85,134.43,2021-04-13
86,132.03,2021-04-14
87,134.5,2021-04-15
88,134.16,2021-04-16
89,134.84,2021-04-19
90,133.11,2021-04-20
91,133.5,2021-04-21
92,131.94,2021-04-22
93,134.32,2021-04-23
94,134.72,2021-04-26
95,134.39,2021-04-27
96,133.58,2021-04-28
97,133.48,2021-04-29
98,131.46,2021-04-30
99,132.54,2021-05-03
100,127.85,2021-05-04
101,128.1,2021-05-05
102,129.74,2021-05-06
103,130.21,2021-05-07
104,126.85,2021-05-10
105,125.91,2021-05-11
106,122.77,2021-05-12
107,124.97,2021-05-13
108,127.45,2021-05-14
109,126.27,2021-05-17
110,124.85,2021-05-18
111,124.69,2021-05-19
112,127.31,2021-05-20
113,125.43,2021-05-21
114,127.1,2021-05-24
115,126.9,2021-05-25
116,126.85,2021-05-26
117,125.28,2021-05-27
118,124.61,2021-05-28
119,124.28,2021-06-01
120,125.06,2021-06-02
121,123.54,2021-06-03
122,125.89,2021-06-04
123,125.9,2021-06-07
124,126.74,2021-06-08
125,127.13,2021-06-09
126,126.11,2021-06-10
127,127.35,2021-06-11
128,130.48,2021-06-14
129,129.64,2021-06-15
130,130.15,2021-06-16
131,131.79,2021-06-17
132,130.46,2021-06-18
133,132.3,2021-06-21
134,133.98,2021-06-22
135,133.7,2021-06-23
136,133.41,2021-06-24
137,133.11,2021-06-25
138,134.78,2021-06-28
139,136.33,2021-06-29
140,136.96,2021-06-30
141,137.27,2021-07-01
142,139.96,2021-07-02
143,142.02,2021-07-06
144,144.57,2021-07-07
145,143.24,2021-07-08
146,145.11,2021-07-09
147,144.5,2021-07-12
148,145.64,2021-07-13
149,149.15,2021-07-14
150,148.48,2021-07-15
151,146.39,2021-07-16
152,142.45,2021-07-19
153,146.15,2021-07-20
154,145.4,2021-07-21
155,146.8,2021-07-22
156,148.56,2021-07-23
157,148.99,2021-07-26
158,146.77,2021-07-27
159,144.98,2021-07-28
160,145.64,2021-07-29
161,145.86,2021-07-30
162,145.52,2021-08-02
163,147.36,2021-08-03
164,146.95,2021-08-04
165,147.06,2021-08-05
166,146.14,2021-08-06
167,146.09,2021-08-09
168,145.6,2021-08-10
169,145.86,2021-08-11
170,148.89,2021-08-12
171,149.1,2021-08-13
172,151.12,2021-08-16
173,150.19,2021-08-17
