,c,day
0,88.02,2020-12-08
1,87.87,2020-12-09
2,88.05,2020-12-10
3,88.19,2020-12-11
4,88.16,2020-12-14
5,88.2,2020-12-15
6,88.11,2020-12-16
7,88.13,2020-12-17
8,88.1,2020-12-18
9,88.11,2020-12-21
10,88.25,2020-12-22
11,87.86,2020-12-23
12,88.01,2020-12-24
13,87.98,2020-12-28
14,88.01,2020-12-29
15,88.07,2020-12-30
16,88.19,2020-12-31
17,88.07,2021-01-04
18,87.92,2021-01-05
19,87.53,2021-01-06
20,87.35,2021-01-07
21,87.27,2021-01-08
22,87.18,2021-01-11
23,87.16,2021-01-12
24,87.39,2021-01-13
25,87.28,2021-01-14
26,87.35,2021-01-15
27,87.47,2021-01-19
28,87.46,2021-01-20
29,87.34,2021-01-21
30,87.38,2021-01-22
31,87.58,2021-01-25
32,87.57,2021-01-26
33,87.57,2021-01-27
34,87.5,2021-01-28
35,87.43,2021-01-29
36,87.32,2021-02-01
37,87.21,2021-02-02
38,87.06,2021-02-03
39,87.08,2021-02-04
40,86.96,2021-02-05
41,87.06,2021-02-08
42,87.02,2021-02-09
43,87.16,2021-02-10
44,87.07,2021-02-11
45,86.84,2021-02-12
46,86.43,2021-02-16
47,86.61,2021-02-17
48,86.56,2021-02-18
49,86.26,2021-02-19
50,86.02,2021-02-22
51,86.0,2021-02-23
52,85.95,2021-02-24
53,85.2,2021-02-25
54,85.94,2021-02-26
55,85.7,2021-03-01
56,85.69,2021-03-02
57,85.42,2021-03-03
58,85.15,2021-03-04
59,85.1,2021-03-05
60,84.71,2021-03-08
61,84.99,2021-03-09
62,85.15,2021-03-10
63,85.16,2021-03-11
64,84.65,2021-03-12
65,84.75,2021-03-15
66,84.74,2021-03-16
67,84.71,2021-03-17
68,84.36,2021-03-18
69,84.43,2021-03-19
70,84.67,2021-03-22
71,84.86,2021-03-23
72,84.99,2021-03-24
73,84.93,2021-03-25
74,84.78,2021-03-26
75,84.67,2021-03-29
76,84.76,2021-03-30
77,84.72,2021-03-31
78,84.8,2021-04-01
79,84.67,2021-04-05
80,84.97,2021-04-06
81,84.87,2021-04-07
82,85.06,2021-04-08
83,84.95,2021-04-09
84,84.93,2021-04-12
85,85.15,2021-04-13
