,c,day
0,369.85,2020-12-04
1,369.09,2020-12-07
2,370.17,2020-12-08
3,366.85,2020-12-09
4,366.73,2020-12-10
5,366.3,2020-12-11
6,364.66,2020-12-14
7,369.59,2020-12-15
8,370.17,2020-12-16
9,372.24,2020-12-17
10,369.18,2020-12-18
11,367.86,2020-12-21
12,367.24,2020-12-22
13,367.57,2020-12-23
14,369.0,2020-12-24
15,372.17,2020-12-28
16,371.46,2020-12-29
17,371.99,2020-12-30
18,373.88,2020-12-31
19,368.79,2021-01-04
20,371.33,2021-01-05
21,373.55,2021-01-06
22,379.1,2021-01-07
23,381.26,2021-01-08
24,378.69,2021-01-11
25,378.77,2021-01-12
26,379.79,2021-01-13
27,378.46,2021-01-14
28,375.7,2021-01-15
29,378.65,2021-01-19
30,383.89,2021-01-20
31,384.24,2021-01-21
32,382.88,2021-01-22
33,384.39,2021-01-25
34,383.79,2021-01-26
35,374.41,2021-01-27
36,377.63,2021-01-28
37,370.07,2021-01-29
38,376.23,2021-02-01
39,381.55,2021-02-02
40,381.85,2021-02-03
41,386.19,2021-02-04
42,387.71,2021-02-05
43,390.51,2021-02-08
44,390.25,2021-02-09
45,390.08,2021-02-10
46,390.71,2021-02-11
47,392.64,2021-02-12
48,392.3,2021-02-16
49,392.39,2021-02-17
50,390.72,2021-02-18
51,390.03,2021-02-19
52,387.03,2021-02-22
53,387.5,2021-02-23
54,391.77,2021-02-24
55,382.33,2021-02-25
56,380.36,2021-02-26
57,389.58,2021-03-01
58,386.54,2021-03-02
59,381.42,2021-03-03
60,376.7,2021-03-04
61,383.63,2021-03-05
62,381.72,2021-03-08
63,387.17,2021-03-09
64,389.58,2021-03-10
65,393.53,2021-03-11
66,394.06,2021-03-12
67,396.41,2021-03-15
68,395.91,2021-03-16
69,397.26,2021-03-17
70,391.48,2021-03-18
71,389.48,2021-03-19
72,392.59,2021-03-22
73,389.5,2021-03-23
74,387.52,2021-03-24
75,389.7,2021-03-25
76,395.98,2021-03-26
77,395.78,2021-03-29
78,394.73,2021-03-30
79,396.33,2021-03-31
80,400.61,2021-04-01
81,406.36,2021-04-05
82,406.12,2021-04-06
83,406.59,2021-04-07
84,408.52,2021-04-08
85,411.49,2021-04-09
86,411.64,2021-04-12
87,412.86,2021-04-13
88,411.45,2021-04-14
89,415.87,2021-04-15
90,417.26,2021-04-16
91,415.21,2021-04-19
92,412.17,2021-04-20
93,416.07,2021-04-21
94,412.27,2021-04-22
95,416.74,2021-04-23
96,417.61,2021-04-26
97,417.52,2021-04-27
98,417.4,2021-04-28
99,420.06,2021-04-29
100,417.3,2021-04-30
101,418.2,2021-05-03
102,415.62,2021-05-04
103,415.75,2021-05-05
104,419.07,2021-05-06
105,422.12,2021-05-07
106,417.94,2021-05-10
107,414.21,2021-05-11
108,405.41,2021-05-12
109,410.28,2021-05-13
110,416.58,2021-05-14
111,415.52,2021-05-17
112,411.94,2021-05-18
113,410.86,2021-05-19
114,415.28,2021-05-20
115,414.94,2021-05-21
116,419.17,2021-05-24
117,418.24,2021-05-25
118,419.07,2021-05-26
119,419.29,2021-05-27
120,420.04,2021-05-28
121,419.67,2021-06-01
122,420.33,2021-06-02
123,418.77,2021-06-03
124,422.6,2021-06-04
125,422.19,2021-06-07
126,422.28,2021-06-08
127,421.65,2021-06-09
128,423.61,2021-06-10
129,424.31,2021-06-11
130,425.26,2021-06-14
131,424.48,2021-06-15
132,422.11,2021-06-16
133,421.97,2021-06-17
134,414.92,2021-06-18
135,420.86,2021-06-21
136,423.11,2021-06-22
137,422.6,2021-06-23
138,425.1,2021-06-24
139,426.61,2021-06-25
140,427.47,2021-06-28
141,427.7,2021-06-29
142,428.06,2021-06-30
143,430.43,2021-07-01
144,433.72,2021-07-02
145,432.93,2021-07-06
146,434.46,2021-07-07
147,430.92,2021-07-08
148,435.52,2021-07-09
149,437.08,2021-07-12
150,435.59,2021-07-13
151,436.24,2021-07-14
152,434.75,2021-07-15
153,431.34,2021-07-16
154,424.97,2021-07-19
155,431.06,2021-07-20
156,434.55,2021-07-21
157,435.46,2021-07-22
158,439.94,2021-07-23
159,441.02,2021-07-26
160,439.01,2021-07-27
161,438.83,2021-07-28
162,440.65,2021-07-29
163,438.51,2021-07-30
164,437.59,2021-08-02
165,441.15,2021-08-03
166,438.98,2021-08-04
167,441.76,2021-08-05
168,442.49,2021-08-06
169,442.13,2021-08-09
170,442.68,2021-08-10
171,443.78,2021-08-11
172,445.11,2021-08-12
173,445.92,2021-08-13
174,446.97,2021-08-16
175,444.04,2021-08-17
176,439.18,2021-08-18
177,439.86,2021-08-19
178,443.36,2021-08-20
179,447.26,2021-08-23
180,447.97,2021-08-24
181,448.91,2021-08-25
182,446.26,2021-08-26
183,450.25,2021-08-27
184,452.23,2021-08-30
