,c,day
0,81.0,2020-12-08
1,86.45,2020-12-09
2,85.5,2020-12-10
3,86.0,2020-12-11
4,84.1,2020-12-14
5,81.5,2020-12-15
6,80.15,2020-12-16
7,78.5,2020-12-17
8,79.25,2020-12-18
9,79.75,2020-12-21
10,79.05,2020-12-22
11,80.2,2020-12-23
12,79.15,2020-12-24
13,76.75,2020-12-28
14,76.55,2020-12-29
15,76.55,2020-12-30
16,75.9,2020-12-31
17,79.2,2021-01-04
18,77.25,2021-01-05
19,80.45,2021-01-06
20,74.45,2021-01-07
21,71.7,2021-01-08
22,74.8,2021-01-11
23,75.1,2021-01-12
24,73.7,2021-01-13
25,74.8,2021-01-14
26,76.6,2021-01-15
27,73.2,2021-01-19
28,68.15,2021-01-20
29,66.4,2021-01-21
30,67.0,2021-01-22
31,65.15,2021-01-25
32,65.05,2021-01-26
33,70.35,2021-01-27
34,69.25,2021-01-28
35,73.55,2021-01-29
36,68.05,2021-02-01
37,64.85,2021-02-02
38,65.5,2021-02-03
39,63.2,2021-02-04
40,62.55,2021-02-05
41,61.3,2021-02-08
42,61.35,2021-02-09
43,61.75,2021-02-10
44,60.75,2021-02-11
45,59.8,2021-02-12
46,60.2,2021-02-16
47,61.1,2021-02-17
48,61.9,2021-02-18
49,62.7,2021-02-19
50,67.6,2021-02-22
51,68.15,2021-02-23
52,66.45,2021-02-24
53,73.5,2021-02-25
54,72.4,2021-02-26
55,65.95,2021-03-01
56,69.1,2021-03-02
57,75.1,2021-03-03
58,78.8,2021-03-04
59,75.2,2021-03-05
60,81.6,2021-03-08
61,71.95,2021-03-09
62,72.5,2021-03-10
63,67.45,2021-03-11
64,69.1,2021-03-12
65,66.9,2021-03-15
66,65.8,2021-03-16
67,65.0,2021-03-17
68,70.95,2021-03-18
69,70.05,2021-03-19
70,66.25,2021-03-22
71,67.15,2021-03-23
72,70.5,2021-03-24
73,70.85,2021-03-25
74,67.65,2021-03-26
75,67.75,2021-03-29
76,68.75,2021-03-30
77,65.6,2021-03-31
78,62.2,2021-04-01
79,58.55,2021-04-05
80,58.7,2021-04-06
81,58.2,2021-04-07
82,56.35,2021-04-08
83,55.35,2021-04-09
84,55.6,2021-04-12
85,53.6,2021-04-13
86,55.55,2021-04-14
87,52.95,2021-04-15
88,52.8,2021-04-16
89,54.3,2021-04-19
90,55.45,2021-04-20
91,54.0,2021-04-21
92,55.95,2021-04-22
93,53.85,2021-04-23
94,52.75,2021-04-26
95,53.45,2021-04-27
96,54.05,2021-04-28
97,53.4,2021-04-29
98,54.45,2021-04-30
99,55.3,2021-05-03
100,58.3,2021-05-04
101,58.9,2021-05-05
102,57.6,2021-05-06
103,56.15,2021-05-07
104,60.4,2021-05-10
105,60.6,2021-05-11
106,65.3,2021-05-12
107,63.85,2021-05-13
108,59.65,2021-05-14
109,60.7,2021-05-17
110,61.9,2021-05-18
111,61.7,2021-05-19
112,58.1,2021-05-20
113,59.05,2021-05-21
114,56.05,2021-05-24
115,55.8,2021-05-25
116,55.25,2021-05-26
117,55.9,2021-05-27
118,55.35,2021-05-28
119,55.9,2021-06-01
120,55.6,2021-06-02
121,57.35,2021-06-03
122,54.35,2021-06-04
123,53.9,2021-06-07
124,53.85,2021-06-08
125,53.75,2021-06-09
126,52.05,2021-06-10
127,51.65,2021-06-11
128,50.2,2021-06-14
129,51.15,2021-06-15
130,51.75,2021-06-16
131,49.75,2021-06-17
132,50.9,2021-06-18
133,50.0,2021-06-21
134,48.6,2021-06-22
135,48.5,2021-06-23
136,47.6,2021-06-24
137,47.7,2021-06-25
138,46.0,2021-06-28
139,45.5,2021-06-29
140,45.7,2021-06-30
141,45.7,2021-07-01
142,44.1,2021-07-02
143,43.575,2021-07-06
144,43.25,2021-07-07
145,44.05,2021-07-08
146,43.2,2021-07-09
147,42.75,2021-07-12
148,42.75,2021-07-13
149,42.5,2021-07-14
150,43.35,2021-07-15
151,44.4,2021-07-16
152,45.5,2021-07-19
153,43.95,2021-07-20
154,42.9,2021-07-21
155,42.0,2021-07-22
156,40.6,2021-07-23
157,40.5,2021-07-26
158,41.8,2021-07-27
159,41.3,2021-07-28
160,41.05,2021-07-29
161,41.7,2021-07-30
162,41.7,2021-08-02
163,40.95,2021-08-03
164,40.75,2021-08-04
165,40.0,2021-08-05
166,40.5,2021-08-06
167,40.35,2021-08-09
168,40.95,2021-08-10
169,41.1,2021-08-11
170,40.65,2021-08-12
171,40.25,2021-08-13
172,40.2,2021-08-16
173,41.3,2021-08-17
174,42.5,2021-08-18
175,41.8,2021-08-19
176,40.5,2021-08-20
177,38.7,2021-08-23
178,38.35,2021-08-24
179,38.3,2021-08-25
180,38.95,2021-08-26
181,37.85,2021-08-27
182,36.5,2021-08-30
183,36.6,2021-08-31
184,36.45,2021-09-01
185,36.55,2021-09-02
186,36.15,2021-09-03
187,35.95,2021-09-07
188,36.4,2021-09-08
189,36.75,2021-09-09
190,37.65,2021-09-10
191,37.7,2021-09-13
192,38.0,2021-09-14
193,37.1,2021-09-15
194,37.1,2021-09-16
195,38.4,2021-09-17
196,40.75,2021-09-20
197,40.65,2021-09-21
198,39.45,2021-09-22
199,38.35,2021-09-23
200,38.2,2021-09-24
201,39.15,2021-09-27
202,42.45,2021-09-28
203,42.7,2021-09-29
204,43.15,2021-09-30
205,42.35,2021-10-01
206,45.0,2021-10-04
207,43.15,2021-10-05
208,42.35,2021-10-06
209,41.15,2021-10-07
210,41.85,2021-10-08
211,42.75,2021-10-11
212,43.15,2021-10-12
213,42.15,2021-10-13
214,39.8,2021-10-14
215,39.05,2021-10-15
216,37.85,2021-10-18
217,37.1,2021-10-19
218,37.15,2021-10-20
219,36.5,2021-10-21
220,37.4,2021-10-22
221,36.25,2021-10-25
222,35.95,2021-10-26
223,35.65,2021-10-27
224,34.5,2021-10-28
225,33.95,2021-10-29
226,33.65,2021-11-01
227,33.15,2021-11-02
228,32.1,2021-11-03
229,30.95,2021-11-04
230,30.85,2021-11-05
231,30.95,2021-11-08
232,31.55,2021-11-09
233,33.0,2021-11-10
234,32.65,2021-11-11
235,31.6,2021-11-12
236,31.65,2021-11-15
237,30.95,2021-11-16
238,30.95,2021-11-17
239,29.95,2021-11-18
240,29.45,2021-11-19
241,30.55,2021-11-22
242,30.95,2021-11-23
243,30.6,2021-11-24
244,32.3,2021-11-26
245,30.25,2021-11-29
246,31.55,2021-11-30
247,33.25,2021-12-01
248,32.45,2021-12-02
249,34.1,2021-12-03
250,33.3,2021-12-06
251,30.25,2021-12-07
252,29.9,2021-12-08
253,31.15,2021-12-09
254,30.15,2021-12-10
255,31.5,2021-12-13
256,32.45,2021-12-14
257,30.3,2021-12-15
258,32.5,2021-12-16
259,33.0,2021-12-17
260,34.0,2021-12-20
261,31.7,2021-12-21
262,30.6,2021-12-22
263,29.9,2021-12-23
264,28.45,2021-12-27
265,28.75,2021-12-28
266,28.8,2021-12-29
267,29.05,2021-12-30
268,29.7,2021-12-31
269,28.7,2022-01-03
270,29.85,2022-01-04
271,32.65,2022-01-05
272,32.7,2022-01-06
273,33.7,2022-01-07
274,33.55,2022-01-10
275,32.15,2022-01-11
276,31.7,2022-01-12
277,34.06,2022-01-13
278,33.5,2022-01-14
279,35.9,2022-01-18
280,37.15,2022-01-19
281,38.61,2022-01-20
282,41.79,2022-01-21
283,41.27,2022-01-24
284,44.08,2022-01-25
285,44.15,2022-01-26
286,45.6,2022-01-27
287,41.32,2022-01-28
288,37.38,2022-01-31
289,36.58,2022-02-01
290,35.71,2022-02-02
291,39.96,2022-02-03
292,38.55,2022-02-04
293,39.36,2022-02-07
294,38.08,2022-02-08
295,35.66,2022-02-09
296,38.03,2022-02-10
297,41.62,2022-02-11
298,41.52,2022-02-14
299,38.45,2022-02-15
300,38.48,2022-02-16
301,41.89,2022-02-17
302,43.29,2022-02-18
303,44.6,2022-02-22
304,48.01,2022-02-23
305,43.32,2022-02-24
306,41.17,2022-02-25
307,40.73,2022-02-28
308,42.65,2022-03-01
309,40.58,2022-03-02
310,42.27,2022-03-03
311,44.11,2022-03-04
312,49.01,2022-03-07
313,49.67,2022-03-08
314,44.36,2022-03-09
315,45.77,2022-03-10
316,48.54,2022-03-11
317,51.39,2022-03-14
318,46.64,2022-03-15
319,41.38,2022-03-16
320,39.92,2022-03-17
321,37.49,2022-03-18
322,37.74,2022-03-21
323,35.53,2022-03-22
324,37.03,2022-03-23
325,34.59,2022-03-24
326,34.65,2022-03-25
327,33.06,2022-03-28
328,31.37,2022-03-29
329,32.32,2022-03-30
330,33.67,2022-03-31
331,33.78,2022-04-01
332,31.71,2022-04-04
333,33.77,2022-04-05
334,35.98,2022-04-06
335,35.74,2022-04-07
336,37.2,2022-04-08
337,39.84,2022-04-11
338,40.39,2022-04-12
339,37.96,2022-04-13
340,40.54,2022-04-14
341,40.38,2022-04-18
342,37.77,2022-04-19
343,39.44,2022-04-20
344,41.8,2022-04-21
345,45.14,2022-04-22
346,43.38,2022-04-25
347,48.2,2022-04-26
348,48.46,2022-04-27
349,43.35,2022-04-28
350,49.03,2022-04-29
351,46.64,2022-05-02
352,46.53,2022-05-03
353,41.79,2022-05-04
354,47.95,2022-05-05
355,49.81,2022-05-06
356,55.61,2022-05-09
357,53.65,2022-05-10
358,58.43,2022-05-11
359,58.76,2022-05-12
360,52.44,2022-05-13
361,54.05,2022-05-16
362,49.95,2022-05-17
363,57.21,2022-05-18
364,58.26,2022-05-19
365,58.73,2022-05-20
366,55.81,2022-05-23
367,59.34,2022-05-24
368,56.9,2022-05-25
369,52.16,2022-05-26
370,47.01,2022-05-27
371,47.31,2022-05-31
372,48.5,2022-06-01
373,44.5,2022-06-02
374,47.96,2022-06-03
