,c,day
0,54.44,2020-12-08
1,56.4,2020-12-09
2,56.88,2020-12-10
3,59.04,2020-12-11
4,60.44,2020-12-14
5,57.6,2020-12-15
6,55.6,2020-12-16
7,55.0,2020-12-17
8,56.32,2020-12-18
9,60.4,2020-12-21
10,59.24,2020-12-22
11,56.96,2020-12-23
12,55.4,2020-12-24
13,55.0,2020-12-28
14,57.16,2020-12-29
15,55.0,2020-12-30
16,54.96,2020-12-31
17,60.2,2021-01-04
18,57.92,2021-01-05
19,57.56,2021-01-06
20,54.04,2021-01-07
21,53.52,2021-01-08
22,56.8,2021-01-11
23,54.86,2021-01-12
24,54.0,2021-01-13
25,54.68,2021-01-14
26,56.04,2021-01-15
27,54.48,2021-01-19
28,53.36,2021-01-20
29,52.92,2021-01-21
30,53.68,2021-01-22
31,55.84,2021-01-25
32,54.92,2021-01-26
33,66.32,2021-01-27
34,64.96,2021-01-28
35,69.2,2021-01-29
36,65.16,2021-02-01
37,59.72,2021-02-02
38,56.52,2021-02-03
39,54.04,2021-02-04
40,53.9,2021-02-05
41,53.48,2021-02-08
42,53.76,2021-02-09
43,54.52,2021-02-10
44,53.28,2021-02-11
45,51.56,2021-02-12
46,51.64,2021-02-16
47,50.92,2021-02-17
48,51.36,2021-02-18
49,49.36,2021-02-19
50,51.44,2021-02-22
51,49.32,2021-02-23
52,47.44,2021-02-24
53,54.8,2021-02-25
54,52.2,2021-02-26
55,48.2,2021-03-01
56,49.0,2021-03-02
57,51.16,2021-03-03
58,53.28,2021-03-04
59,49.6,2021-03-05
60,50.8,2021-03-08
61,48.36,2021-03-09
62,47.8,2021-03-10
63,46.56,2021-03-11
64,45.76,2021-03-12
65,43.16,2021-03-15
66,43.16,2021-03-16
67,41.2,2021-03-17
68,43.56,2021-03-18
69,42.16,2021-03-19
70,39.0,2021-03-22
71,41.0,2021-03-23
72,41.24,2021-03-24
73,39.96,2021-03-25
74,38.4,2021-03-26
75,39.48,2021-03-29
76,37.64,2021-03-30
77,37.4,2021-03-31
78,36.24,2021-04-01
79,35.16,2021-04-05
80,35.48,2021-04-06
81,34.4,2021-04-07
82,33.88,2021-04-08
83,33.8,2021-04-09
84,33.28,2021-04-12
85,33.0,2021-04-13
86,33.76,2021-04-14
87,32.64,2021-04-15
88,32.12,2021-04-16
89,33.24,2021-04-19
90,34.0,2021-04-20
91,32.24,2021-04-21
92,34.48,2021-04-22
93,32.92,2021-04-23
94,32.68,2021-04-26
95,31.96,2021-04-27
96,31.84,2021-04-28
97,31.64,2021-04-29
98,32.92,2021-04-30
99,31.68,2021-05-03
100,32.88,2021-05-04
101,32.12,2021-05-05
102,31.92,2021-05-06
103,30.0,2021-05-07
104,31.32,2021-05-10
105,33.76,2021-05-11
106,39.56,2021-05-12
107,35.84,2021-05-13
108,31.64,2021-05-14
109,32.28,2021-05-17
110,33.16,2021-05-18
111,34.6,2021-05-19
112,32.76,2021-05-20
113,32.32,2021-05-21
114,30.84,2021-05-24
115,30.84,2021-05-25
116,29.39,2021-05-26
117,27.96,2021-05-27
118,28.36,2021-05-28
119,29.07,2021-06-01
120,28.36,2021-06-02
121,28.88,2021-06-03
122,27.35,2021-06-04
