,c,day
0,61.45,2020-12-08
1,61.46,2020-12-09
2,60.51,2020-12-10
3,60.35,2020-12-11
4,59.98,2020-12-14
5,60.55,2020-12-15
6,59.91,2020-12-16
7,60.01,2020-12-17
8,60.46,2020-12-18
9,59.49,2020-12-21
10,58.99,2020-12-22
11,58.96,2020-12-23
12,58.84,2020-12-24
13,58.98,2020-12-28
14,58.81,2020-12-29
15,58.14,2020-12-30
16,58.75,2020-12-31
17,58.85,2021-01-04
18,58.58,2021-01-05
19,59.29,2021-01-06
20,58.53,2021-01-07
21,57.8,2021-01-08
22,57.46,2021-01-11
23,57.26,2021-01-12
24,57.06,2021-01-13
25,57.04,2021-01-14
26,57.38,2021-01-15
27,57.05,2021-01-19
28,57.26,2021-01-20
29,57.27,2021-01-21
30,57.47,2021-01-22
31,58.42,2021-01-25
32,56.57,2021-01-26
33,55.13,2021-01-27
34,55.37,2021-01-28
35,54.75,2021-01-29
36,54.28,2021-02-01
37,54.5,2021-02-02
38,54.79,2021-02-03
39,55.14,2021-02-04
40,55.32,2021-02-05
41,55.05,2021-02-08
42,55.0,2021-02-09
43,54.96,2021-02-10
44,54.6,2021-02-11
45,54.2,2021-02-12
46,54.15,2021-02-16
47,56.99,2021-02-17
48,56.98,2021-02-18
49,56.45,2021-02-19
50,56.45,2021-02-22
51,57.03,2021-02-23
52,57.12,2021-02-24
53,56.5,2021-02-25
54,55.3,2021-02-26
55,55.36,2021-03-01
56,54.98,2021-03-02
57,55.38,2021-03-03
58,54.8,2021-03-04
59,56.0,2021-03-05
60,56.79,2021-03-08
61,56.2,2021-03-09
62,57.08,2021-03-10
63,55.51,2021-03-11
64,55.63,2021-03-12
65,55.64,2021-03-15
66,55.64,2021-03-16
67,55.75,2021-03-17
68,56.31,2021-03-18
69,56.24,2021-03-19
70,56.59,2021-03-22
71,56.91,2021-03-23
72,57.01,2021-03-24
73,57.38,2021-03-25
74,58.18,2021-03-26
75,58.83,2021-03-29
76,58.59,2021-03-30
77,58.15,2021-03-31
78,58.3,2021-04-01
79,58.87,2021-04-05
80,59.11,2021-04-06
81,59.0,2021-04-07
82,57.6,2021-04-08
83,57.49,2021-04-09
84,57.54,2021-04-12
85,57.62,2021-04-13
86,57.7,2021-04-14
87,57.7,2021-04-15
88,58.28,2021-04-16
89,58.39,2021-04-19
90,58.39,2021-04-20
91,58.14,2021-04-21
92,57.28,2021-04-22
93,57.3,2021-04-23
94,56.94,2021-04-26
95,56.32,2021-04-27
96,56.43,2021-04-28
97,57.32,2021-04-29
98,57.79,2021-04-30
99,57.92,2021-05-03
100,58.6,2021-05-04
101,58.69,2021-05-05
102,59.29,2021-05-06
103,58.72,2021-05-07
104,59.52,2021-05-10
105,58.54,2021-05-11
106,58.41,2021-05-12
107,58.81,2021-05-13
108,58.69,2021-05-14
109,57.94,2021-05-17
110,57.18,2021-05-18
111,56.92,2021-05-19
112,56.79,2021-05-20
113,56.91,2021-05-21
114,56.98,2021-05-24
115,56.48,2021-05-25
116,56.36,2021-05-26
117,56.29,2021-05-27
118,56.49,2021-05-28
119,56.38,2021-06-01
120,56.65,2021-06-02
121,56.98,2021-06-03
122,57.3,2021-06-04
123,57.2,2021-06-07
124,57.15,2021-06-08
125,57.05,2021-06-09
126,57.34,2021-06-10
127,57.33,2021-06-11
128,57.18,2021-06-14
129,57.29,2021-06-15
130,56.64,2021-06-16
131,56.53,2021-06-17
132,55.82,2021-06-18
133,56.39,2021-06-21
134,56.37,2021-06-22
135,56.07,2021-06-23
136,56.37,2021-06-24
137,56.38,2021-06-25
138,56.18,2021-06-28
139,55.84,2021-06-29
140,56.03,2021-06-30
141,56.29,2021-07-01
142,56.44,2021-07-02
143,56.41,2021-07-06
144,56.53,2021-07-07
145,55.68,2021-07-08
146,56.07,2021-07-09
147,56.15,2021-07-12
148,56.09,2021-07-13
149,56.32,2021-07-14
150,56.55,2021-07-15
151,56.46,2021-07-16
152,55.84,2021-07-19
153,55.58,2021-07-20
154,55.95,2021-07-21
155,55.95,2021-07-22
156,55.88,2021-07-23
157,55.78,2021-07-26
158,56.2,2021-07-27
159,55.72,2021-07-28
160,55.98,2021-07-29
161,55.78,2021-07-30
162,55.76,2021-08-02
163,55.73,2021-08-03
164,55.37,2021-08-04
165,55.3,2021-08-05
166,55.22,2021-08-06
167,55.12,2021-08-09
168,55.48,2021-08-10
169,55.57,2021-08-11
170,55.64,2021-08-12
171,55.87,2021-08-13
172,55.98,2021-08-16
173,56.18,2021-08-17
174,55.47,2021-08-18
175,55.37,2021-08-19
176,55.52,2021-08-20
177,55.42,2021-08-23
178,55.01,2021-08-24
179,54.93,2021-08-25
180,54.6,2021-08-26
181,54.77,2021-08-27
182,54.77,2021-08-30
183,55.0,2021-08-31
184,54.94,2021-09-01
185,55.29,2021-09-02
186,55.43,2021-09-03
187,54.82,2021-09-07
188,54.91,2021-09-08
189,54.44,2021-09-09
190,54.23,2021-09-10
191,54.62,2021-09-13
192,54.41,2021-09-14
193,54.57,2021-09-15
194,54.43,2021-09-16
195,54.28,2021-09-17
196,54.26,2021-09-20
197,54.03,2021-09-21
198,54.06,2021-09-22
199,54.42,2021-09-23
200,54.37,2021-09-24
201,54.47,2021-09-27
202,54.16,2021-09-28
203,54.38,2021-09-29
204,54.01,2021-09-30
205,54.3,2021-10-01
206,54.5,2021-10-04
207,54.51,2021-10-05
208,54.53,2021-10-06
209,53.9,2021-10-07
210,53.24,2021-10-08
211,52.18,2021-10-11
212,51.33,2021-10-12
213,51.35,2021-10-13
214,51.92,2021-10-14
215,52.27,2021-10-15
216,51.91,2021-10-18
217,52.35,2021-10-19
218,53.61,2021-10-20
219,53.39,2021-10-21
220,52.93,2021-10-22
221,52.58,2021-10-25
222,53.08,2021-10-26
223,52.63,2021-10-27
224,52.8,2021-10-28
225,52.99,2021-10-29
226,52.95,2021-11-01
227,52.57,2021-11-02
